classroom,workload,appearance,colleagues,parents,grading,preparation,autonomy
-1.551944559,-0.137466835,-0.811523153,0.152726321,-1.445908445,-1.16959714,-0.414239867,-0.758207547
1.109569725,-0.005060129,1.208553733,1.057557731,0.573219104,0.145545213,-0.770599643,0.219522103
-0.791511906,-0.402280247,-0.955814359,-0.299689384,-0.86901486,-0.183240376,-0.770599643,-0.269342722
0.222398297,0.524566695,0.631388908,-0.525897237,-2.022802031,-1.498382728,-0.057880091,-1.247072371
0.856092174,0.392159989,-0.378649535,0.831349878,0.573219104,-0.183240376,0.298479685,0.219522103
-0.157818029,-0.005060129,0.054224084,0.152726321,0.284772311,-0.183240376,0.654839461,0.219522103
0.602614623,-0.005060129,-0.378649535,-0.073481532,0.861665897,-1.498382728,0.298479685,0.219522103
0.856092174,1.451413637,1.208553733,1.283765583,1.15011269,-0.512025964,-0.057880091,0.219522103
0.475875848,1.583820343,0.919971321,0.831349878,1.15011269,0.803116389,0.654839461,0.219522103
1.109569725,1.054193519,1.208553733,1.283765583,1.438559482,0.474330801,0.654839461,-0.758207547
0.475875848,1.054193519,0.775680115,1.057557731,0.573219104,0.803116389,0.654839461,1.197251752
0.095659522,-0.005060129,-0.667231947,0.152726321,-1.157461652,-0.183240376,-0.414239867,-0.269342722
-0.031079254,0.392159989,0.19851529,-0.299689384,-0.003674481,0.803116389,0.654839461,0.219522103
-0.41129558,-0.269873541,0.19851529,0.605142026,-0.86901486,-1.16959714,0.654839461,0.219522103
0.856092174,0.656973401,0.487097702,0.152726321,0.284772311,-0.512025964,-0.057880091,0.219522103
0.602614623,-0.799500365,-0.811523153,-0.525897237,-0.292121274,0.474330801,0.654839461,1.197251752
0.98283095,1.848633755,1.208553733,0.378934173,1.438559482,1.131901977,1.367559013,0.219522103
-0.664773131,-0.667093659,-1.965852802,-0.978312942,-0.86901486,-1.827168316,-0.414239867,-0.758207547
-3.706503741,-1.461533895,-2.543017627,-3.240391467,-2.022802031,-1.16959714,-1.839678971,-0.758207547
0.095659522,1.054193519,-0.234358328,-0.299689384,-0.580568067,0.803116389,-0.057880091,-0.758207547
-0.031079254,0.392159989,0.487097702,-0.299689384,-1.734355238,0.803116389,1.011199237,-1.247072371
-0.538034356,-0.667093659,-1.244396772,-0.752105089,-0.86901486,-1.16959714,-0.057880091,-1.247072371
0.475875848,0.524566695,1.208553733,0.152726321,-0.292121274,0.145545213,1.723918789,0.708386927
-3.579764966,-1.593940601,-1.821561596,-2.787975762,-2.022802031,-1.16959714,-1.839678971,-0.758207547
0.095659522,0.259753283,-0.378649535,-0.299689384,-0.003674481,-0.512025964,-1.483319195,-1.247072371
-1.298467008,0.392159989,-0.811523153,-0.073481532,-0.86901486,-0.512025964,0.298479685,-0.758207547
-0.031079254,0.789380107,-0.090067122,-0.525897237,0.284772311,-0.512025964,-0.057880091,0.219522103
-0.791511906,0.259753283,-1.388687978,-1.204520794,1.438559482,0.474330801,1.723918789,-1.735937196
0.222398297,-1.196720483,-0.811523153,-0.073481532,-0.580568067,-0.183240376,1.011199237,-1.247072371
-1.044989457,-0.402280247,-0.811523153,-0.525897237,-0.580568067,-0.183240376,-0.057880091,-0.758207547
0.349137072,-0.402280247,1.208553733,0.378934173,0.284772311,-1.16959714,1.011199237,-0.269342722
-3.959981292,-2.25597413,-2.831600039,-3.014183615,-3.176589202,-1.827168316,-2.552398523,-1.247072371
0.729353399,0.921786813,-1.244396772,-0.073481532,0.284772311,0.803116389,0.654839461,-0.269342722
-0.791511906,0.656973401,-0.378649535,-0.073481532,-0.86901486,0.474330801,0.298479685,-0.269342722
0.349137072,0.259753283,1.064262527,0.152726321,-0.86901486,-0.840811552,0.654839461,0.219522103
-1.425205783,-1.064313777,-1.388687978,-1.430728647,-2.022802031,-2.155953904,-0.414239867,-1.735937196
0.475875848,-0.269873541,0.919971321,0.378934173,0.284772311,-0.840811552,0.654839461,1.197251752
0.475875848,-0.402280247,0.487097702,1.057557731,1.438559482,-0.183240376,0.298479685,0.219522103
0.475875848,-1.991160719,0.487097702,0.152726321,-0.86901486,-1.16959714,-0.057880091,-0.269342722
-2.185638436,-0.667093659,-1.821561596,-0.978312942,-1.445908445,-1.16959714,-1.126959419,-1.735937196
-3.706503741,-2.123567424,-2.543017627,-2.787975762,-2.311248823,-1.498382728,-2.196038747,-0.758207547
1.109569725,0.127346577,-0.811523153,1.283765583,0.861665897,0.474330801,1.011199237,-0.758207547
-0.031079254,-0.402280247,0.342806496,0.152726321,-0.292121274,-1.498382728,0.298479685,0.708386927
0.222398297,0.921786813,0.342806496,0.378934173,1.15011269,-0.183240376,0.654839461,1.686116577
0.095659522,1.451413637,1.064262527,0.831349878,0.573219104,-1.16959714,-0.770599643,1.197251752
0.856092174,-0.137466835,0.19851529,0.378934173,0.861665897,0.145545213,-0.057880091,-0.758207547
0.729353399,1.054193519,1.208553733,0.378934173,0.861665897,1.460687565,1.367559013,0.219522103
0.98283095,0.656973401,1.208553733,1.057557731,1.438559482,1.789473153,-0.770599643,-1.247072371
0.475875848,1.186600225,1.064262527,0.152726321,-0.86901486,1.460687565,-0.414239867,-0.269342722
-2.185638436,-0.931907071,-1.532979184,-1.204520794,-0.86901486,-0.183240376,-1.126959419,0.708386927
0.475875848,0.127346577,-0.378649535,0.831349878,-0.003674481,-1.16959714,-0.057880091,1.197251752
0.475875848,1.981040461,1.064262527,1.057557731,0.861665897,0.803116389,1.723918789,1.686116577
-0.41129558,-1.064313777,-0.955814359,-0.525897237,-0.86901486,-1.16959714,-1.126959419,-0.269342722
-0.791511906,-1.064313777,-1.532979184,-0.752105089,-0.292121274,-0.840811552,-0.770599643,-0.758207547
0.095659522,0.524566695,-0.522940741,1.283765583,1.438559482,0.474330801,0.298479685,-0.758207547
0.475875848,0.259753283,-0.378649535,0.152726321,0.284772311,0.803116389,0.298479685,0.219522103
0.475875848,1.319006931,1.208553733,0.378934173,1.15011269,0.803116389,0.654839461,1.197251752
-0.157818029,-1.329127189,1.064262527,0.378934173,1.15011269,-0.840811552,-0.057880091,-0.269342722
