"code" "Date" "Group" "Complete" "Speaker" "Process" "Recipient"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"OF" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"GO" 514 "B" 1 "S" "T" "GT"
"EA" 514 "B" 1 "K" "T" "S"
"IE" 514 "B" 1 "S" "T" "K"
"IE" 514 "B" 1 "K" "T" "S"
"TP" 514 "B" 1 "S" "T" "K"
"TP" 514 "B" 1 "K" "T" "S"
"IE" 514 "B" 1 "S" "T" "K"
"TP" 514 "B" 1 "D" "T" "GT"
"IE" 514 "B" 1 "K" "T" "S"
"IE" 514 "B" 1 "S" "T" "K"
"TP" 514 "B" 1 "D" "T" "GT"
"IE" 514 "B" 1 "K" "T" "GT"
"TP" 514 "B" 1 "K" "T" "GT"
"TP" 514 "B" 1 "S" "T" "K"
"IE" 514 "B" 1 "K" "T" "S"
"IE" 514 "B" 1 "S" "T" "GT"
"TP" 514 "B" 1 "D" "T" "GT"
"TP" 514 "B" 0 "" "T" ""
"IE" 514 "B" 0 "" "B" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 1 "S" "B" "GT"
"TP" 514 "B" 1 "K" "B" "S"
"IE" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"IE" 514 "B" 1 "K" "B" "GT"
"TP" 514 "B" 1 "D" "B" "GT"
"TP" 514 "B" 1 "S" "B" "D"
"TP" 514 "B" 1 "K" "P" "GT"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 1 "K" "P" "GT"
"OF" 514 "B" 1 "S" "P" "K"
"OF" 514 "B" 1 "K" "P" "S"
"OF" 514 "B" 1 "S" "P" "K"
"OF" 514 "B" 1 "K" "P" "S"
"OF" 514 "B" 1 "S" "P" "K"
"OF" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 0 "" "P" ""
"IE" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "P" ""
"IE" 514 "B" 0 "" "P" ""
"EA" 514 "B" 1 "D" "P" "S"
"IE" 514 "B" 1 "S" "P" "D"
"KS" 514 "B" 1 "D" "P" "S"
"KS" 514 "B" 1 "K" "P" "D"
"KS" 514 "B" 1 "D" "P" "K"
"IE" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "P" ""
"IE" 514 "B" 1 "K" "P" "GT"
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 1 "K" "P" "GT"
"IE" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 1 "K" "P" "GT"
"TP" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "K" "P" "D"
"TP" 514 "B" 1 "D" "P" "GT"
"IE" 514 "B" 1 "S" "P" "GT"
"IE" 514 "B" 1 "D" "P" "S"
"TP" 514 "B" 1 "S" "P" "GT"
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 1 "D" "P" "S"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "K" "P" "GT"
"GO" 514 "B" 1 "S" "P" "GT"
"EA" 514 "B" 1 "K" "P" "S"
"EA" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "D" "P" "S"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "D" "P" "S"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "D" "P" "S"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "D" "P" "S"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 1 "D" "P" "S"
"TP" 514 "B" 0 "S" "P" ""
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "" "P" ""
"TP" 514 "B" 1 "" "P" ""
"TP" 514 "B" 1 "" "P" ""
"IE" 514 "B" 1 "" "P" ""
"TP" 514 "B" 1 "" "P" ""
"TP" 514 "B" 1 "" "P" ""
"TP" 514 "B" 1 "" "P" ""
"IE" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"KS" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "GT"
"KS" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"KS" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"OF" 514 "B" 1 "K" "P" "S"
"OF" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "D" "P" ""
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "D" "P" "S"
"IE" 514 "B" 1 "S" "P" "D"
"IE" 514 "B" 1 "D" "P" "S"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "P" ""
"IE" 514 "B" 1 "K" "P" "GT"
"TP" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "D" "P" "GT"
"GO" 514 "B" 1 "K" "P" "GT"
"EA" 514 "B" 1 "S" "P" "K"
"EA" 514 "B" 1 "K" "P" "S"
"EA" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"EA" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "S" "P" "D"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "D" "P" "GT"
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"KS" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 1 "K" "P" "GT"
"IE" 514 "B" 1 "S" "P" "GT"
"IE" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "K" "P" "S"
"IE" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "K" "P" "GT"
"TP" 514 "B" 1 "K" "P" "D"
"TP" 514 "B" 1 "D" "P" "K"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "K" "" ""
"TP" 514 "B" 1 "S" "R" "K"
"TP" 514 "B" 1 "K" "R" "S"
"TP" 514 "B" 1 "S" "R" "K"
"TP" 514 "B" 1 "K" "R" "S"
"TP" 514 "B" 1 "S" "R" "K"
"TP" 514 "B" 1 "K" "R" "S"
"TP" 514 "B" 1 "K" "R" "D"
"TP" 514 "B" 1 "K" "R" "S"
"TP" 514 "B" 1 "S" "R" "K"
"TP" 514 "B" 1 "K" "R" "S"
"TP" 514 "B" 1 "S" "R" "K"
"IE" 514 "B" 1 "K" "R" "S"
"TP" 514 "B" 1 "S" "R" "K"
"TP" 514 "B" 1 "K" "R" "S"
"IE" 514 "B" 1 "D" "B" "K"
"TP" 514 "B" 1 "K" "B" "D"
"TP" 514 "B" 1 "D" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "K" "B" "S"
"IE" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 0 "" "" ""
"OF" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 1 "S" "B" "D"
"IE" 514 "B" 1 "S" "B" "D"
"KS" 514 "B" 1 "D" "B" "S"
"TP" 514 "B" 1 "K" "B" ""
"IE" 514 "B" 1 "D" "B" "S"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"GO" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "K" "B" "S"
"IE" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "K" "B" "D"
"IE" 514 "B" 1 "S" "B" "K"
"KS" 514 "B" 1 "K" "B" "S"
"IE" 514 "B" 1 "S" "B" "K"
"KS" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "D"
"TP" 514 "B" 1 "D" "B" "S"
"TP" 514 "B" 1 "S" "B" "GT"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "D" "B" "K"
"IE" 514 "B" 1 "D" "B" "K"
"TP" 514 "B" 1 "S" "B" "D"
"TP" 514 "B" 1 "K" "B" "GT"
"IE" 514 "B" 1 "K" "B" "GT"
"IE" 514 "B" 1 "D" "B" "K"
"IE" 514 "B" 1 "K" "B" "D"
"IE" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"IE" 514 "B" 1 "D" "B" "K"
"TP" 514 "B" 1 "S" "B" "D"
"IE" 514 "B" 1 "S" "B" "D"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "GT"
"IE" 514 "B" 1 "K" "B" "GT"
"IE" 514 "B" 1 "D" "B" "S"
"TP" 514 "B" 1 "S" "B" "D"
"TP" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"KS" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "S" "B" "K"
"EA" 514 "B" 1 "K" "B" "S"
"EA" 514 "B" 1 "S" "B" "K"
"IE" 514 "B" 1 "K" "B" "S"
"IE" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "S" "B" "K"
"GO" 514 "B" 1 "K" "B" "S"
"EA" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "D" "B" "GT"
"IE" 514 "B" 1 "S" "B" "GT"
"TP" 514 "B" 1 "S" "B" "GT"
"OF" 514 "B" 0 "K" "B" ""
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "D" "B" "GT"
"TP" 514 "B" 1 "K" "B" "D"
"TP" 514 "B" 1 "D" "B" "K"
"IE" 514 "B" 1 "S" "B" "GT"
"TP" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "D" "B" "S"
"KS" 514 "B" 1 "S" "B" "GT"
"KS" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "S" "B" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"IE" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "S" "P" "S"
"TP" 514 "B" 1 "K" "P" "GT"
"TP" 514 "B" 1 "D" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "K" "P" "S"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"KS" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"GO" 514 "B" 0 "" "" ""
"EA" 514 "B" 0 "" "" ""
"EA" 514 "B" 1 "S" "G" "K"
"EA" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "S" "G" "K"
"IE" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "S" "G" "K"
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"EA" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"GO" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"IE" 514 "B" 0 "" "" ""
"EA" 514 "B" 0 "" "" ""
"TP" 514 "B" 0 "" "" ""
"EA" 514 "B" 1 "S" "G" "K"
"EA" 514 "B" 1 "K" "G" "S"
"EA" 514 "B" 1 "D" "G" "GT"
"TP" 514 "B" 1 "S" "G" "D"
"IE" 514 "B" 1 "S" "G" "D"
"KS" 514 "B" 1 "D" "G" "S"
"TP" 514 "B" 1 "S" "G" "D"
"KS" 514 "B" 1 "S" "G" "D"
"KS" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 0 "K" "P" ""
"TP" 514 "B" 1 "K" "P" "GT"
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 1 "D" "P" "S"
"KS" 514 "B" 1 "K" "P" "GT"
"KS" 514 "B" 1 "S" "P" "K"
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "S" "B" "GT"
"IE" 514 "B" 1 "K" "B" "S"
"TP" 514 "B" 1 "D" "P" "GT"
"TP" 514 "B" 1 "D" "P" "GT"
"IE" 514 "B" 1 "K" "P" "GT"
"IE" 514 "B" 1 "S" "P" "GT"
"TP" 514 "B" 0 "" "P" ""
"TP" 514 "B" 1 "K" "P" "S"
"EA" 514 "B" 1 "S" "G" "GT"
"GO" 514 "B" 1 "S" "G" "GT"
"EA" 514 "B" 1 "K" "G" "S"
"EA" 514 "B" 1 "S" "G" "K"
"TP" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "S" "G" "K"
"GO" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "S" "G" "K"
"EA" 514 "B" 1 "D" "G" "K"
"IE" 514 "B" 1 "S" "G" "D"
"IE" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "D" "G" "GT"
"IE" 514 "B" 0 "K" "G" "D"
"IE" 514 "B" 1 "K" "G" "D"
"KS" 514 "B" 1 "S" "G" "K"
"GO" 514 "B" 1 "K" "G" "S"
"IE" 514 "B" 1 "S" "G" "K"
"IE" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "S" "G" "K"
"TP" 514 "B" 1 "D" "G" "S"
"IE" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "S" "G" "K"
"TP" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "S" "G" "K"
"TP" 514 "B" 1 "K" "G" "S"
"TP" 514 "B" 1 "S" "G" "K"
"KS" 514 "B" 1 "S" "G" "K"
"TP" 514 "B" 0 "" "G" ""
"TP" 514 "B" 1 "D" "B" "K"
"TP" 514 "B" 1 "K" "B" "D"
"IE" 514 "B" 1 "K" "B" "D"
"TP" 514 "B" 1 "D" "B" "K"
"IE" 514 "B" 1 "D" "B" "K"
"TP" 514 "B" 1 "S" "G" "GT"
"KS" 514 "B" 1 "S" "G" "GT"
"EA" 514 "B" 1 "D" "G" "S"
"EA" 514 "B" 1 "S" "G" "D"
"KS" 514 "B" 1 "S" "G" "D"
"GO" 514 "B" 1 "K" "G" "GT"
"EA" 514 "B" 1 "S" "G" "K"
"TP" 514 "B" 1 "K" "G" "S"
"KS" 514 "B" 1 "S" "G" "K"
"GO" 514 "B" 1 "K" "G" "S"
"EA" 514 "B" 1 "S" "G" "K"
"TP" 514 "B" 1 "D" "G" "K"
"TP" 514 "B" 1 "S" "G" "K"
"EA" 514 "B" 1 "S" "G" "K"
"EA" 514 "B" 0 "" "G" ""
"UC" 514 "B" 1 "K" "G" "S"
